album,artist,sentiment
Kizz My Black Azz,MC Ren,0.32594650791208946
Mutations,Beck,0.39118880926509203
Où est la Rock?,Fireball Ministry,0.3730473592858914
Such Friends Are Dangerous,Excuse 17,0.47133163094995584
Candyass,Orgy,0.5140278648356028
Dosage,Collective Soul,0.431414262287816
Ledbetter Heights,Kenny Wayne Shepherd,0.5446717242838256
Domination,Morbid Angel,0.3118345555521461
Under the Table and Dreaming,Dave Matthews Band,0.5110509744827766
Facing the Animal,Yngwie Malmsteen,0.494317177725154
Cheapness and Beauty,Boy George,0.3277479545821316
A Guided Tour of Chicago,The Lawrence Arms,0.4435734449977822
How I Learned to Love the Bootboys,The Auteurs,0.4852037823505941
Whitey Ford Sings the Blues,Everlast,0.37798634411882
Inquisition Symphony,Apocalyptica,0.9999999999999991
Trompe le Monde,Pixies,0.44166914649563205
Songs of Love and Hate,Godflesh,0.4914240127642597
The A Files,Sham 69,0.25740719818804064
10 Song Demo,Rosanne Cash,0.5286175271739124
Between the Bridges,Sloan,0.4777031238937897
Heavy Petting,Bad Manners,0.537368700970615
The Skills Dat Pay Da Bills,Positive K,0.44786866436897943
Dare Iz a Darkside,Redman,0.4437337360153474
God Save the Smithereens,The Smithereens,0.47317336020545936
Let's Get Killed,David Holmes,0.7199840446749096
Ghetto Fabulous,Mystikal,0.34330048703137367
A2G,Blackalicious,0.48099021370300105
By Your Side,The Black Crowes,0.4813058647055841
94 Diskont,Oval,0.9999999999999991
Edutainment,Boogie Down Productions,0.4535593843002872
Dreamland,Robert Miles,0.9999999999999991
Glow,The Innocence Mission,0.5232848025528516
Rhythmeen,ZZ Top,0.5361875637104989
Everyone's Got One,Echobelly,0.334759782435769
The Natural Bridge,Silver Jews,0.46071001196649347
Red Medicine,Fugazi,0.3914033808783681
Return of the Funky Man,Lord Finesse,0.46798711506940166
Days of Open Hand,Suzanne Vega,0.45053865911848473
Internal Affairs,Pharoahe Monch,0.3642423814598438
Babe Rainbow,The House of Love,0.4169215086646268
Rust in Peace,Megadeth,0.5212135946357498
The Gift of Game,Crazy Town,0.4335181164869511
Guitar Slinger,The Brian Setzer Orchestra,0.4910860849674529
Funky Divas,En Vogue,0.49541796521807346
Faith,Faith Hill,0.708763004570808
Brave Murder Day,Katatonia,0.41604796891284984
Vigil in a Wilderness of Mirrors,Fish,0.4598452486057562
Business as Usual,EPMD,0.4153310600808022
Ambushed,Da Bush Babees,0.39695967396159637
Youthanasia,Megadeth,0.45401283186738095
Legal Drug Money,Lost Boyz,0.45288271703583266
Calling Rastafari,Burning Spear,0.5507539179107159
Smeared,Sloan,0.5155684302532135
I Hear Black,Overkill,0.47382081943607507
The Troubleshooters,Funkdoobiest,0.5029324419814427
Kerplunk,Green Day,0.5089153488272922
When You're a Boy,Susanna Hoffs,0.6129864769811714
The Ladder,Yes,0.5589245634611143
No. 4,Stone Temple Pilots,0.45259992022337453
Permutation,Amon Tobin,0.9999999999999991
Emergency on Planet Earth,Jamiroquai,0.48029586422087334
"Transnational Speedway League: Anthems, Anecdotes, and Undeniable Truths",Clutch,0.3093983188535513
Ocean Beach,Red House Painters,0.6762570420799283
Legendary Tales,Rhapsody,0.5496292200021755
So Close,Dina Carroll,0.47365421931374047
Diary of a Mad Band,Jodeci,0.503710886114623
Home Alone,John Williams,0.9999999999999991
None,Meshuggah,0.4733570430276141
Roman Candle,Elliott Smith,0.38708294300388857
Amazing Disgrace,The Posies,0.473635771060542
My Romance,Carly Simon,0.5823439268008751
King of the Jews,Oxbow,0.431007005270036
Behind the Mask,Fleetwood Mac,0.5356804483791158
As Good as Dead,Local H,0.5173011630426926
