album,artist,album_uri,artist_uri
The Hard Way,Clint Black,spotify:album:6gcTyk6vMcPb0QdN92zHOd,spotify:artist:3Ay15wt0QChT4Kapsuw5Jt
Shades of God,Paradise Lost,spotify:album:5yEBJhC6Xld5eQmJWAmDAB,spotify:artist:0gIo6kGl4KsCeIbqtZVHYp
Dirty,Sonic Youth,spotify:album:7oNRvhXwhNCfHEUGER5EhG,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Your Arsenal,Morrissey,spotify:album:5gg79cLcpB2vhjWr53Te2X,spotify:artist:3iTsJGG39nMg9YiolUgLMQ
Business Never Personal,EPMD,spotify:album:3eu9Vmn3nODuKhqDPqDmFq,spotify:artist:3zpKjsMg2gw1St5WcWoUJN
Gordon,Barenaked Ladies,spotify:album:42U1vGhrWUN6TeM5mwN691,spotify:artist:0dEvJpkqhrcn64d3oI8v79
What's the 411?,Mary J. Blige,spotify:album:549WK0ApX7KGRWEXdINVsK,spotify:artist:1XkoF8ryArs86LZvFOkbyr
Tapping the Vein,Sodom,spotify:album:325Tt4aYkDuoJzMO0kX14N,spotify:artist:6SYbLA9utoNsllunR1TnkM
"March 16–20, 1992",Uncle Tupelo,spotify:album:3ezxoWuFQIiCr2xugKs3Lp,spotify:artist:2Plkkomsc4DKawkCioLKjc
Welcome to Wherever You Are,INXS,spotify:album:66ocxSzZ98wk1rWNfrvU8u,spotify:artist:1eClJfHLoDI4rZe5HxzBFv
Lost Together,Blue Rodeo,spotify:album:5wJ31R2PbTjegSgBHDtqnF,spotify:artist:4M1fxLs3K8DkyCaTEpdfo0
New Miserable Experience,Gin Blossoms,spotify:album:2UasK65dL7DVtsSLy2lrJa,spotify:artist:6kXp61QMZFPcKMcRPqoiVj
Hit to Death in the Future Head,The Flaming Lips,spotify:album:1lynS5ouWEeWeMNT0XLqpJ,spotify:artist:16eRpMNXSQ15wuJoeqguaB
March ör Die,Motörhead,spotify:album:3pbbbyxPPgBTAMbAcVzjex,spotify:artist:1DFr97A9HnbV3SKTJFu62M
Take That & Party,Take That,spotify:album:1qtveewbtypFL3dBmeWsU9,spotify:artist:1XgFuvRd7r5g0h844A5ZUQ
Babe Rainbow,The House of Love,spotify:album:6l13PgMKsKWw5Jd8CmmMCR,spotify:artist:4tfyTbsNNN5xfxKDwG4VfP
Lunapark,Luna,spotify:album:0zMmVWAEjiv5BZbAn2m2C8,spotify:artist:2AACqFGo8offvHCKGvrWxq
Mind Fruit,Opus III,spotify:album:5qPIkrDnqxksLOFpFYqvEz,spotify:artist:1hQuWl1dueM7ChRUZRn05z
T-R-O-U-B-L-E,Travis Tritt,spotify:album:1D6c3hHvx5NIfbhuX5VL0D,spotify:artist:2M4Yt7oKGoYd0wqU44k4i2
Unplugged,Eric Clapton,spotify:album:3ebyEGol0Abc7VAxYf7vEg,spotify:artist:6PAt558ZEZl0DmdXlnjMgD
Bobby,Bobby Brown,spotify:album:1T7RZdtMdC1svs3WGT15A5,spotify:artist:62sPt3fswraiEPnKQpAbdE
Dog Eat Dog,Warrant,spotify:album:49lunjcGy7kj30y4ODCFG6,spotify:artist:7HLvzuM9p11k9lUQfSM4Rq
Return of the Product,MC Serch,spotify:album:1GKpLQWG6h6r7CyYtEQ0N6,spotify:artist:40bZG5ihgjqtufTvy8dz2u
Soul of a New Machine,Fear Factory,spotify:album:6PzDT42JinkaF4nNKwfP3a,spotify:artist:74Hj7BmnUXyx2udrIEIKwX
Start the Car,Jude Cole,spotify:album:1RkTr9GuvfSC0syx8EUEHv,spotify:artist:6MxIoQ7GT947XGYca2irUU
Sweet Old World,Lucinda Williams,spotify:album:0RpNNwGqJwlSUC4hhnDsfR,spotify:artist:60ht0hWRy1yjUDfNsLuHuP
Scrolls of the Megilloth,Mortification,spotify:album:2OhyLhw1HJENzzflzzxStQ,spotify:artist:06T4NL0adq4kfYAr2nZv5t
Tourism,Roxette,spotify:album:6yhZFWd0wGN0QCchNFYn0Q,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY
Tubular Bells II,Mike Oldfield,spotify:album:0Z9Uio2xZCDztGCuozTPaH,spotify:artist:562Od3CffWedyz2BbeYWVn
Amused to Death,Roger Waters,spotify:album:5RqQH15mFgHI984n25pFg3,spotify:artist:40DqL6Tv84cKT2pH2NMs9r
I Gotta Get Mine Yo,Chubb Rock,spotify:album:28pnaoN6BrDAQwjMlQNAal,spotify:artist:4dVRITwfej74WkmNpgYVPb
Down on Sunset,Thomas Anders,spotify:album:4LdHXPRVSaJxKNJzmzViQc,spotify:artist:5YST2BJLoQVVhyXoZfbCZ0
Hearts in Armor,Trisha Yearwood,spotify:album:6uk1KNSAZP0jwPHMRgronx,spotify:artist:3XlIhgydjvC4EniPFZT20j
Mondo Bizarro,Ramones,spotify:album:7vy6ynhCUzdMDq8KGgCmfy,spotify:artist:1co4F2pPNH8JjTutZkmgSm
Nerve Net,Brian Eno,spotify:album:7eBPgVpi8699reJuHeMzve,spotify:artist:7MSUfLeTdDEoZiJPDSBXgi
Copper Blue,Sugar,spotify:album:2gezpSJBHJaRG12p6NXJEX,spotify:artist:4DD6xBZ1INIT3yGJRQLzej
The Looks or the Lifestyle?,Pop Will Eat Itself,spotify:album:5z7Cw4PpdfGgtIAWT8TiVF,spotify:artist:5rIXueJu7zVE2gDZjUM6g8
Puzzle,Dada,spotify:album:4vCVIpLHYqNrUTfdBv3J6Q,spotify:artist:3bFhgZ2r1FAFu0XyttZYKl
America's Least Wanted,Ugly Kid Joe,spotify:album:0lQjdBr2n0WQg5sjGzLVfR,spotify:artist:3XsgWn63EnA4wYZBjVyxjf
Bone Machine,Tom Waits,spotify:album:5blxyZRgkA735vO40p56MA,spotify:artist:7x83XhcMbOTl1UdYsPTuZM
Sweet Oblivion,Screaming Trees,spotify:album:3hUjajfWpgs4k03Z1Tnh6x,spotify:artist:3Ukr3Ufjg8ygRJv7Ww887f
Down Colorful Hill,Red House Painters,spotify:album:31toyxx4NeSixf47lJBNbt,spotify:artist:2GATzeg62cr6sH29wSOVWe
A Little Light Music,Jethro Tull,spotify:album:5vbCXqj5gMmzk2ceW1QWvG,spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R
Hollywood Town Hall,The Jayhawks,spotify:album:7oXVB3A0tFx7lWnn9UmAur,spotify:artist:2UDplVRprMbazU74Hq8OLl
Pure Country,George Strait,spotify:album:5K0Ic5xrsWbWzlDFse0KCX,spotify:artist:5vngPClqofybhPERIqQMYd
Am I Not Your Girl?,Sinéad O'Connor,spotify:album:1186Oo3LkL5tauDVEemxGU,spotify:artist:4sD9znwiVFx9cgRPZ42aQ1
B-Side Ourselves,Skid Row,spotify:album:2crf3v3i5k99J07PdJqhs6,spotify:artist:4opTS86dN9uO313J9CE8xg
Broken,Nine Inch Nails,spotify:album:4jyWDa1yM9ul7zgUdR80hw,spotify:artist:0X380XXQSNBYuleKzav5UO
Here Comes Trouble,Bad Company,spotify:album:1TLajkX2xG7FZSY5QGqLln,spotify:artist:5AEG63ajney2BoDXi0Vb84
III Sides to Every Story,Extreme,spotify:album:2uL8R700dAmWQTY4ZGLWGl,spotify:artist:6w7j5wQ5AI5OQYlcM15s2L
Tomb of the Mutilated,Cannibal Corpse,spotify:album:2yPAe2RJCfrfV97c8FKKjb,spotify:artist:0yLwGBQiBqhXOvmTfH2A7n
Yes Please!,Happy Mondays,spotify:album:2Z1ZgUFPHGNeEyhbK9Ox8z,spotify:artist:339DNkQkuhHKEcHw6oK8f0
Back to the Light,Brian May,spotify:album:4Yoy2mAgnnKxrsMF6LAFiy,spotify:artist:2NcbLU1bW55eahD0UgD7U3
Experience,The Prodigy,spotify:album:7uSC6NXKlE3zGo0mu8Ik5r,spotify:artist:4k1ELeJKT1ISyDv8JivPpB
Core,Stone Temple Pilots,spotify:album:5kxuokOacguIqDJRh1ZXRC,spotify:artist:2UazAtjfzqBF0Nho2awK4z
Junkanoo,Baha Men,spotify:album:2zEu8IanR0rSKosCKSP02k,spotify:artist:67FFKYikvTlvsPNk4NPOYJ
Music to Driveby,Compton's Most Wanted,spotify:album:6MvoTmtw4ArMBphjEVzvTl,spotify:artist:0SAPzv3jNXclYYSHOnJyjg
Not Ashamed,Newsboys,spotify:album:0Dk1I1DAN3MBxqm8gyooYy,spotify:artist:1SZMaiNHfdUuU0qZKZ6y62
Precious,Chanté Moore,spotify:album:5QZQqTB2MaLyKFRiCrgUOY,spotify:artist:77OlE8SkEHDkJczfswzDFo
The Triumph of Steel,Manowar,spotify:album:1uVLEeDuKWgOazttohIOvd,spotify:artist:4CzUzn54Cp9TQr6a7JIlMZ
Duh,Lagwagon,spotify:album:4e9Rd8BSP04b77gUp1ku0y,spotify:artist:66riGCPfih1Xqk81dDvpvf
Fully Completely,The Tragically Hip,spotify:album:6dWzo61hYvRtiKDblfwU4C,spotify:artist:0YMeriqrS3zgsX24nfY0F0
Angel Heart,Bonnie Tyler,spotify:album:6xrQ96Ojgm68j6E4BZX46F,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2
Automatic for the People,R.E.M.,spotify:album:3sDXivpN7CmCKbQRRsRzw8,spotify:artist:4KWTAlx2RvbpseOGMEmROg
Blind,The Sundays,spotify:album:2MyaP2JXodfEY2Lh7YLa5J,spotify:artist:4nlqDmbzFzbNITaqjJv7D7
Can I Borrow a Dollar?,Common,spotify:album:5CcW5rXAUdUUail7aaDwNi,spotify:artist:2GHclqNVjqGuiE5mA7BEoc
Grave Dancers Union,Soul Asylum,spotify:album:3EFhsxrJoH3yE3r8bHheE6,spotify:artist:02da1vDJ2hWqfK7aJL6SJm
Home for Christmas,Amy Grant,spotify:album:6zsXpKxvpjmwXvoxPdN2eQ,spotify:artist:72Nhcx7prNk2ZCxhx0Y5es
Our Time In Eden,"10,000 Maniacs",spotify:album:0jtmYtkmyrMDpo7M2FTzZ2,spotify:artist:0MBIKH9DjtBkv8O3nS6szj
Liar,The Jesus Lizard,spotify:album:3NB6ddIwEHykimIztj8kuK,spotify:artist:6r26MaDr8bqNALjXgYPXMa
"Bigger, Better, Faster, More!",4 Non Blondes,spotify:album:2P8M5eo4zWFD0JJtH4D0iA,spotify:artist:0Je74SitssvJg1w4Ra2EK7
Ignition,The Offspring,spotify:album:1obNbVrcFQ00nbmC1ZsJT3,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ
Stamina Daddy,Buju Banton,spotify:album:1sDrXLrF2ZZaSGlsgS1DQ1,spotify:artist:4wLAjfeqAsV66AocWNcowA
Carnival of Carnage,Insane Clown Posse,spotify:album:6NK27l0MYTxek8r4s4sX3C,spotify:artist:4xtWjIlVuZwTCeqVAsgEXy
Jehovahkill,Julian Cope,spotify:album:1RdOHAvb6xFz4GK48sDIYQ,spotify:artist:5sMku8iI6FH3ypZTErz4kv
Main Offender,Keith Richards,spotify:album:5zbr2XHnWnarisC5J0yVpd,spotify:artist:08avsqaGIlK2x3i2Cu7rKH
Breathless,Kenny G,spotify:album:4ZIOCYviEphLj1EpwXXvHy,spotify:artist:6I3M904Y9IwgDjrQ9pANiB
Erotica,Madonna,spotify:album:0iK9cBzawSgH4iQcPiPpFD,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW
King of Hearts,Roy Orbison,spotify:album:16wudyCi6qUSglfotL4TGI,spotify:artist:0JDkhL4rjiPNEp92jAgJnS
"You Can't Do That on Stage Anymore, Vol. 6",Frank Zappa,spotify:album:33OgEfEw6eMqSnRoh9SFDW,spotify:artist:6ra4GIOgCZQZMOaUECftGN
Harvest Moon,Neil Young,spotify:album:0tdm853TNWjVVChbJRbu3Q,spotify:artist:6v8FB84lnmJs434UJf2Mrm
Homebrew,Neneh Cherry,spotify:album:10HVfiyq9hmHXZ1CS8xTDR,spotify:artist:3JxCEqL9zjKnDJgUhRuRJD
It's About Time,SWV,spotify:album:2BBrAtWY0c6dPio5b2JYFK,spotify:artist:2NmK5FyrQ18HOPXq1UBzqa
Smeared,Sloan,spotify:album:4wyn8yXUI03KqajP3dHjSf,spotify:artist:1ahN3WDDULKaAQs7ZUrGNP
God's Great Banana Skin,Chris Rea,spotify:album:525y53mFzYcuolrOtBVbM0,spotify:artist:5KEG7G8LDYlHgFDqZyEEs2
Are You Normal?,Ned's Atomic Dustbin,spotify:album:2grx6MZQYbH1Z6TLQXbRPg,spotify:artist:5AX02tEFl85gnqkvzqeltP
Astronauts & Heretics,Thomas Dolby,spotify:album:7148XwF0H60ZZzGqGzen3w,spotify:artist:2Uz58cSxlJgefDaSikxYQ7
Good as I Been to You,Bob Dylan,spotify:album:4OIFBxR56S44aXiovovyK7,spotify:artist:74ASZWbe4lXaubB36ztrGX
Keep the Faith,Bon Jovi,spotify:album:2FbviTPUjgJJUxsGM1sGDq,spotify:artist:58lV9VcRSjABbAbfWS6skp
The Skills Dat Pay Da Bills,Positive K,spotify:album:58UVlAF336Gl8lSabnvwMV,spotify:artist:5NtJpNZgRqBvRCq6OE08ZU
"The Way We Walk, Volume One: The Shorts",Genesis,spotify:album:25tGlHylelmscMQjEqFn5F,spotify:artist:3CkvROUTQ6nRi9yQOcsB50
Urban Discipline,Biohazard,spotify:album:4ZtfEq2ES0vRMUY5shqDws,spotify:artist:3nhxXtHwC2TookQyqQlFK1
Love Deluxe,Sade,spotify:album:2PfGKHtqEX58bHtkQxJnWG,spotify:artist:47zz7sob9NUcODy0BTDvKx
Pure Guava,Ween,spotify:album:4RaWphn8iwAU3i6dXVhchX,spotify:artist:3u1ulLq00Y3bfmq9FfjsPu
Jade to the Max,Jade,spotify:album:2EwwOSHl7oOX1vyjQBx4Zc,spotify:artist:7ypgj95aGInvJMJbMv78wB
The Predator,Ice Cube,spotify:album:5EJHJqWoiBXTL6ZQxJBGSc,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA
Bizarre Ride II the Pharcyde,The Pharcyde,spotify:album:2lcYWSZtcnNRXI7L1kNUke,spotify:artist:7yk35uHNQclPXFGFoTU44w
The Future,Leonard Cohen,spotify:album:7E4FRoU4Pk0WuO1SQMV1Bo,spotify:artist:5l8VQNuIg0turYE1VtM9zV
Live and Let Die,Kool G Rap,spotify:album:6D0Wyw5SZR34aWYcOLn2r3,spotify:artist:099tLNCZZvtjC7myKD0mFp
Holy Mountain,Sleep,spotify:album:0mmHlUummcNkgBxiBZ2Yml,spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI
5150: Home 4 tha Sick,Eazy-E,spotify:album:65bIyEn06DYO7oFkEYKOdl,spotify:artist:7B4hKK0S9QYnaoqa9OuwgX
Incesticide,Nirvana,spotify:album:6ICrBzsbHVluGHP8wGK4Y3,spotify:artist:6olE6TJLqED3rqDCT0FyPh
It's Your Call,Reba McEntire,spotify:album:6hidqIr2iX803EbUZC9KhK,spotify:artist:02rd0anEWfMtF7iMku9uor
Happy Hour,King Missile,spotify:album:5j17gS2vUnkeSP0hzxc8Qk,spotify:artist:4ab0zJgTZPWz00v2PrdJI4
The Chronic,Dr. Dre,spotify:album:5TOgZrPd6rPkcaOOEvDXEl,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7
...If I Ever Fall in Love,Shai,spotify:album:7Dn3QabfabZjbNyDtrdEzO,spotify:artist:72y3ZI95ctkQC2O4mjBaU3
Changes,Christopher Williams,spotify:album:0POYPvGgqNdWX1G3BQBncS,spotify:artist:27TmRLInIAVyWyU14KlALf
So Close,Dina Carroll,spotify:album:1N6OwzFpqpAbm4tjhuxMDe,spotify:artist:6G7PZ5QfWCPDMxTJ48vYwG
"The Way We Walk, Volume Two: The Longs",Genesis,spotify:album:2Khy2ibPothF9h62okhICI,spotify:artist:3CkvROUTQ6nRi9yQOcsB50
American Grafishy,Flipper,spotify:album:2BH3xKoC5U5Ick2vFsE9Kt,spotify:artist:20VDXslLsXlLgSF765m1Ug
Edge of Excess,Triumph,spotify:album:5xq9UYFfpFmTqTX7I5MP0F,spotify:artist:4YfnJEbTz8QLD5FusYFwV6
No Cure for Cancer,Denis Leary,spotify:album:2M3tPxLb0TEpAtJCfmTNwJ,spotify:artist:1dHjpeh9OKBf1Jfg8dmO1T
Tha Triflin' Album,King Tee,spotify:album:3FNu4i0geLB41xsrEXIUKG,spotify:artist:0zCyco6JHJv7zKHbyMmsut
Songs from the Mirror,Fish,spotify:album:5ONfN7MGqqmOpIB834Fabj,spotify:artist:6bQfVk5fSJSp3JtGiQZGNI
12 Inches of Snow,Snow,spotify:album:6bNWz7bHK8M0xPfAPmFSRW,spotify:artist:3uZFBSsMiooimnprFL9jD1
"Body, Mind, Soul",Debbie Gibson,spotify:album:0tRmu3y16cw1UFaXVudrKA,spotify:artist:18jZvCsW1PJ4FDQ5gEXuKp
The Erosion of Sanity,Gorguts,spotify:album:2KDkBeKRC0RFVCOqoJxvSz,spotify:artist:0Q4ioaeWOOlKFVPNdFvp9q
Friends Can Be Lovers,Dionne Warwick,spotify:album:36sMTEhKCgFBwVFTGpynZI,spotify:artist:2JSjCHK79gdaiPWdKiNUNp
Dusk,The The,spotify:album:2l787tSnzSfpfvgPNsR5O2,spotify:artist:7cKtqv9cYVlOwnuCFH95ce
Perverse,Jesus Jones,spotify:album:4DkVX8rMCQOTg9743dJwnT,spotify:artist:0roeI3yPusDWwWRzAqTopw
Fire in the Dark,Billy Dean,spotify:album:589e2LpkX3NlOIHhdUL3jG,spotify:artist:3cMyqwpNT2D8f0WuaRzzZX
Gorgeous,808 State,spotify:album:3LXtUGxe4I90aQpw7cZ4p5,spotify:artist:7hFdUW64G4iU1tz46ITRfN
Objection Overruled,Accept,spotify:album:5WJLrU0BtPLXr1rfHromEU,spotify:artist:3JDIAtVrJdQ7GFOX26LYpv
Rift,Phish,spotify:album:3iiHj2P7DD5omB11AtNd97,spotify:artist:5wbIWUzTPuTxTyG6ouQKqz
Native Tongue,Poison,spotify:album:474Tw5RoQtYjPUBUhOtUmO,spotify:artist:1fBCIkoPOPCDLUxGuWNvyo
Wandering Spirit,Mick Jagger,spotify:album:3TAd5skYEcJ9dosbhEsVgA,spotify:artist:3d2pb1dHTm8b61zAGVUVvO
Off the Ground,Paul McCartney,spotify:album:2SfFLev1py5L7d0i1Pl3uV,spotify:artist:4STHEaNw4mPZ2tzheohgXB
Slip,Quicksand,spotify:album:3LVYsDFVGuPE7kNQyXZvgp,spotify:artist:1GDjwZ2zwNZizuNJPmH3mE
Spilt Milk,Jellyfish,spotify:album:2xWIi4fDWJZT2Mw3ydTIO7,spotify:artist:10flBVEy5MiUXOJWTaFsyL
Where You Been,Dinosaur Jr.,spotify:album:44rVuw00iGfIh28WcJMDyj,spotify:artist:267VY6GX5LyU5c9M85ECZQ
On the Mouth,Superchunk,spotify:album:3ovYY5SP77J3KHK4Divz2r,spotify:artist:7lmde7T1WJPFwv1eR6melP
Serenades,Anathema,spotify:album:61suTFccU49nuqbrADrQ1c,spotify:artist:0ZXKT0FCsLWkSLCjoBJgBX
Body Exit Mind,New Fast Automatic Daffodils,spotify:album:1tcOavzUDnBXYjjzXvfHio,spotify:artist:5KZSVZ1Y6B0D1vamrn8IGm
The Last Rebel,Lynyrd Skynyrd,spotify:album:3lg4IAmOxJR8nZEfqocH4q,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0
Sarsippius' Ark,Infectious Grooves,spotify:album:1sHAXTb6TT8tu6dP08zQoV,spotify:artist:32R6YbLokiJpZpvFX9Ewo9
Strictly 4 My N.I.G.G.A.Z.,2Pac,spotify:album:7FK1855C3n1Q0RKbmvl7ll,spotify:artist:1ZwdS5xdxEREPySFridCfh
Tabula Rasa,Einstürzende Neubauten,spotify:album:6TExx9McDFL37amgZUdZQK,spotify:artist:7KomCxZv6D5qCVvefwMnwB
Happy Nation,Ace of Base,spotify:album:6xfPCX7xpjJMMeYJaqTuIV,spotify:artist:5ksRONqssB7BR161NTtJAm
New Wave,The Auteurs,spotify:album:7dJLDJkGND4ovSCRL4r4bk,spotify:artist:5EtBXjUUyPJmiljpRdN6RJ
Pablo Honey,Radiohead,spotify:album:3gBVdu4a1MMJVMy6vwPEb8,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Fuzzy,Grant Lee Buffalo,spotify:album:5Pmgla2yq5xYytLXMzfBs2,spotify:artist:31ir0nQWMLTowZmZO8CiBw
Hard Workin' Man,Brooks & Dunn,spotify:album:7pvtnidoCEO4BQlhIjNY7y,spotify:artist:0XKOBt59crntr7HQXXO8Yz
"Live: Right Here, Right Now",Van Halen,spotify:album:61mBoFyJYFvz1liCNwR6j7,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K
Slow Dancing with the Moon,Dolly Parton,spotify:album:179kiVVX6K1xgRvgnBpqqd,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU
"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,spotify:album:11t5u8CpcC89l1zgqdqF5Z,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9
Stain,Living Colour,spotify:album:7DFb9QZJG2Dxu1HaCHjRsq,spotify:artist:6Uhp7WA6sjm5ZL6Xz561de
The Weedkiller's Daughter,John & Mary,spotify:album:6qvCaToauxsg5iqCwVXB1u,spotify:artist:6PBQMYpFeAx32Nt0MGxlcA
Alibis,Tracy Lawrence,spotify:album:2W5u3Jq1YRu58MeYSIiqZV,spotify:artist:2BQVRw9md4UKcGUrDXABCD
Are You Gonna Go My Way,Lenny Kravitz,spotify:album:0HTp8HXQcANBfprAyNMdZE,spotify:artist:5gznATMVO85ZcLTkE9ULU7
Everyday,Widespread Panic,spotify:album:1OgEkkTKJpy7yOGfPmSTCY,spotify:artist:54SHZF2YS3W87xuJKSvOVf
So Tough,Saint Etienne,spotify:album:2FTeecYAHUqD087fRHHuNF,spotify:artist:1N2FgBLehaq77UEdJhCt7f
Ten Summoner's Tales,Sting,spotify:album:5kV0KBXfELibs6qQJLmOtg,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk
Colour of Your Dreams,Carole King,spotify:album:6wfihscZlljyHekAqcX90J,spotify:artist:319yZVtYM9MBGqmSQnMyY6
I Hear Black,Overkill,spotify:album:2G4bY0Md9bJHSpB52EYJ3u,spotify:artist:0NmYchKQ8JIR9QHYJA0FRe
A Real Live One,Iron Maiden,spotify:album:5KuZGp07qx3sDzH1ygKJew,spotify:artist:6mdiAmATAx73kdxrNrnlao
Songs of Faith and Devotion,Depeche Mode,spotify:album:1yEWT6YNoELuXT1H8tOBmL,spotify:artist:762310PdDnwsDxAQxzQkfX
For the Beauty of Wynona,Daniel Lanois,spotify:album:5yEikTSlmcWPLdLr7dsty0,spotify:artist:5S0AJvE9NB1kGrXRfYh690
Glazed,Mystery Machine,spotify:album:4HSu0Rr2xDmIHCGZq2a5EM,spotify:artist:60ijE6SGVicGmsTGmfDfi6
Independent Worm Saloon,Butthole Surfers,spotify:album:74xinIrhpnjl3XdynXAUOo,spotify:artist:62BcWP4fzR8axESibNQEhs
This Time,Dwight Yoakam,spotify:album:1LjKIkzKmvRTfURcwcTr50,spotify:artist:2sxmKe3CUrWnx7eoXMhOlW
Phobia,The Kinks,spotify:album:1h983WHueh60Xm0xiFmDCL,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E
14 Shots to the Dome,LL Cool J,spotify:album:0MnhEOlIw1ChSCQSPl9f8w,spotify:artist:1P8IfcNKwrkQP5xJWuhaOC
Ask Questions Later,Cop Shoot Cop,spotify:album:1AhePeSum2uWK2VjSht3jg,spotify:artist:5iyRxmCnWx31s0T3f8xano
Bacdafucup,Onyx,spotify:album:5lUgtggG1KroP0qHkpxQ4K,spotify:artist:10Khz9BDdDT2mzm3330Cvu
Beaster,Sugar,spotify:album:1Lj1hDF4hcyKGUiw0k7iC3,spotify:artist:4DD6xBZ1INIT3yGJRQLzej
Black Tie White Noise,David Bowie,spotify:album:4ei2YwwzpcilzEWqG4wD7s,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Edge of Thorns,Savatage,spotify:album:6DzA1MfZQtHsreEiIuI9Rx,spotify:artist:3N1B1g6JtIgd6ClRkzD4yT
Harbor Lights,Bruce Hornsby,spotify:album:5Z6GR9rePZvB6HiZUK4ynv,spotify:artist:2iM28IgKg89v1o7BTQAVPo
In My Time,Yanni,spotify:album:5f9BLrcnp776JmOgAV9aS6,spotify:artist:72qxDp6R6v22pai96pZioz
Superjudge,Monster Magnet,spotify:album:2uddKwvNYZT28E6ml2ZlOt,spotify:artist:4hvwEwrCmGj22uURGVET7Q
In Concert/MTV Plugged,Bruce Springsteen,spotify:album:4M3Qtak53VFm7WoUTvqAD6,spotify:artist:3eqjTLE0HfPfh78zjh6TqT
Learning to Flinch,Warren Zevon,spotify:album:13bNtIgF3IFLqIJP1uwW5p,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx
San Francisco Days,Chris Isaak,spotify:album:75BiePy3TDKg9or1NKm0ov,spotify:artist:7290H8m1Dwt8G7jm1y9CQx
Taxi,Bryan Ferry,spotify:album:0KwGcNoGh3YLuggXeTGsIe,spotify:artist:5RNFFojXkPRmlJZIwXeKQC
Today's Active Lifestyles,Polvo,spotify:album:08fo9agYt7LAmxgvu7PB8h,spotify:artist:0pbIqPTefLfuOcbM2ojXdl
Waiting for You,Gordon Lightfoot,spotify:album:0tHWAFS8Dfo1Xg8mSb31Ti,spotify:artist:23rleGXVOVVgTk3xgtmfE4
Earth and Sun and Moon,Midnight Oil,spotify:album:30bx3190mYL3J3zz5HnDEg,spotify:artist:72KyoXzp0NOQij6OcmZUxk
The Full-Custom Gospel Sounds of the Reverend Horton Heat,The Reverend Horton Heat,spotify:album:3NdsTGAiD22JPGhbuSwizc,spotify:artist:4byZW0sEv5RUoyQBfv7CPw
Get a Grip,Aerosmith,spotify:album:180jTzor4W2MQ9HW5h5Fh4,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
Pork Soda,Primus,spotify:album:33kPJ8JFTSNiOUvpFd24pG,spotify:artist:64mPnRMMeudAet0E62ypkx
The Infotainment Scan,The Fall,spotify:album:0KIumCvJClmAZupvMhGNFu,spotify:artist:6WoTvA9qinpHtSRJuldYh6
Bubble & Scrape,Sebadoh,spotify:album:541PK5WDS4QQL2yqT1ic6H,spotify:artist:2wrhBKGC3DTNNNDRJPaxW6
Exposed,Vince Neil,spotify:album:6csqTn2AGTUHGq8aQVtizr,spotify:artist:6prESDxZHvHyqqYsHSn0FE
Frosting on the Beater,The Posies,spotify:album:72rfhFLb2C6Zo500hgoKq3,spotify:artist:5ZOh5D4MKLhU3GekPzNFam
Republic,New Order,spotify:album:7ha9sBu0lsKuW6PRhfSMzg,spotify:artist:0yNLKJebCb8Aueb54LYya3
Down with the King,Run–D.M.C.,spotify:album:0AijtG3NtSLT5193WvVwPY,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA
Dragline,Paw,spotify:album:5OOCf8bH1bUmbDM3CzPBvy,spotify:artist:07M4wKkcUfwO9oonOxT7L2
Kill My Landlord,The Coup,spotify:album:53pPuZN2vEaQWQKhLsydtt,spotify:artist:4IvS1ZZ5nyiNMheybfx3Hf
Rid of Me,PJ Harvey,spotify:album:2fDJpBJhtloxzUENHlU9JB,spotify:artist:12VaqyEhgwDRuFfEqbnrpz
Thousand Roads,David Crosby,spotify:album:32GquThmScjCBMYbeUnoOJ,spotify:artist:59zdhVoWxSoHMc74n098Re
Which Doobie U B?,Funkdoobiest,spotify:album:5jYpg4w1YZtdv9dYMArJ1b,spotify:artist:0pbj7bsLCiQ5f8P9mFnuPN
Modern Life Is Rubbish,Blur,spotify:album:23mDNB6otna4M0e8MORCsZ,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS
On the Night,Dire Straits,spotify:album:3ZhilC8BGSZOSydzsDcVfE,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T
